year,month,temperature_mean,precipitation,sunshine_duration
2024,4,10.07,64.4,151.6
2024,5,15.05,117.8,215.3
2024,6,16.76,89.2,210.1
2024,7,18.81,89.3,236.5
2024,8,19.87,61.4,261.0
2024,9,15.41,102.8,176.8
2024,10,11.03,59.8,97.5
2024,11,5.14,60.4,50.4
2024,12,3.0,54.4,35.0
2025,1,1.99,79.1,56.1
2025,2,1.48,23.4,91.3
2025,3,6.04,17.3,199.3
2025,4,10.5,30.0,244.0
2025,5,12.8,47.9,252.0
2025,6,18.38,58.8,273.3
2025,7,18.35,113.5,182.9
2025,8,18.12,46.6,250.8
2025,9,14.64,81.2,156.1
2025,10,9.82,77.1,74.0
2025,11,5.03,46.0,68.5
2025,12,3.17,21.1,65.7
