year,month,syndrome,age_group,ed_type,relative_cases_avg,relative_cases_7day_ma_avg,expected_value_avg,expected_lowerbound_avg,expected_upperbound_avg,ed_count_sum
2021,4,ILI,0-4,central,0.0,0.0,0.29396605407931703,0.00583935000684017,0.8484731031248074,227
2021,4,ILI,00+,all,0.004033333333333333,0.004033333333333337,0.11956378656762238,0.0,0.5038416261760946,300
2021,4,ILI,00+,central,0.004033333333333333,0.004033333333333337,0.11832177979077853,0.0,0.5011039465437999,300
2021,4,ILI,10-14,all,0.0,0.0,0.17077004444144042,0.0,0.6162908643594597,201
2021,4,ILI,10-14,central,0.0,0.0,0.1603095973778118,0.0,0.5950430031235664,201
2021,4,ILI,15-19,all,0.0,0.0,0.1393701508367044,0.0,0.5503805682231843,259
2021,4,ILI,15-19,central,0.0,0.0,0.1440897119138677,0.0,0.5608626266098192,259
2021,4,ILI,20-39,all,0.0202,0.020200000000000006,0.11677469048034955,0.0,0.4984805624054326,300
2021,4,ILI,20-39,central,0.0202,0.020200000000000006,0.11677469048034955,0.0,0.4984805624054326,300
2021,4,ILI,40-59,all,0.0,0.0,0.10804095210685145,0.0,0.47791726918875704,300
2021,4,ILI,40-59,central,0.0,0.0,0.10804095210685145,0.0,0.47791726918875704,300
2021,4,ILI,5-9,all,0.0,0.0,0.22252963578444301,0.00078751387183066,0.7152109022810973,207
2021,4,ILI,5-9,central,0.0,0.0,0.19539987267,9.155920202156667e-05,0.6624715610655975,207
2021,4,ILI,60-79,all,0.0,0.0,0.07676638864585167,0.0,0.39930588894625085,300
2021,4,ILI,60-79,central,0.0,0.0,0.07676638864585167,0.0,0.39930588894625085,300
2021,4,ILI,80+,all,0.0,0.0,0.07614818955464112,0.0,0.3967911384745288,300
2021,4,ILI,80+,central,0.0,0.0,0.07614818955464112,0.0,0.3967911384745288,300
2021,4,SARI,0-4,all,0.5113666666666666,0.4421095238095239,1.458396215576091,0.5694970126464328,2.5884468824902176,157
2021,4,SARI,0-4,central,0.5113666666666666,0.4421095238095239,1.414435896654139,0.5404144594280211,2.5302615538438267,157
2021,4,SARI,00+,all,2.4408000000000003,2.4672047619047617,1.438602747579696,0.5586151799426007,2.558516256870092,210
2021,4,SARI,00+,central,2.4408000000000003,2.4672047619047617,1.4100679016904591,0.540244906408849,2.519892878625656,210
2021,4,SARI,10-14,all,0.0,0.0,0.28355936030084583,0.0,0.8367408420257676,123
2021,4,SARI,10-14,central,0.0,0.0,0.2573530453812933,0.0,0.7904798070373317,123
2021,4,SARI,15-19,all,0.0,0.0,0.20787197476927646,0.0,0.6944507061387295,175
2021,4,SARI,15-19,central,0.0,0.0,0.16933733359259504,0.0,0.6176830044244564,175
2021,4,SARI,20-39,all,0.9145666666666667,0.9647,0.3871452638107301,0.012246817680911827,1.0156493979616517,210
2021,4,SARI,20-39,central,0.9145666666666667,0.9647,0.3871452638107301,0.012246817680911827,1.0156493979616517,210
2021,4,SARI,40-59,all,2.4685333333333332,2.471442857142857,0.8426314699590421,0.20430534653353505,1.7237611712219416,210
2021,4,SARI,40-59,central,2.4685333333333332,2.471442857142857,0.8426314699590421,0.20430534653353505,1.7237611712219416,210
2021,4,SARI,5-9,all,0.0,0.0,0.5086248313626939,0.0497162566853379,1.2166189473240343,133
2021,4,SARI,5-9,central,0.0,0.0,0.42705368496725865,0.022275412007406976,1.085477692357312,133
2021,4,SARI,60-79,all,4.1260666666666665,4.0542,2.165675689560757,1.053748105983849,3.5163506920116574,210
2021,4,SARI,60-79,central,4.1260666666666665,4.0542,2.165675689560757,1.053748105983849,3.5163506920116574,210
2021,4,SARI,80+,all,3.1237333333333335,3.283866666666667,2.8458683147043713,1.5509160867090008,4.379167420837939,210
2021,4,SARI,80+,central,3.1237333333333335,3.283866666666667,2.8458683147043713,1.5509160867090008,4.379167420837939,210
2021,5,ARI,0-4,all,7.549903225806451,7.4355806451612905,13.367384084995795,10.406645445260278,16.565500154608557,393
2021,5,ARI,0-4,central,7.549903225806451,7.4355806451612905,12.405644039740267,9.558205832717263,15.490462330409294,393
2021,5,ARI,00+,all,6.467354838709677,6.64621198156682,6.3918263704522085,4.386076201447716,8.634738988606502,558
